File: goja.test
Build ID: d78a0faa7df9923b954d3f38003009d269644754
Type: cpu
Time: 2026-02-18 15:07:49 EST
Duration: 21.14s, Total samples = 24.70s (116.86%)
Showing nodes accounting for -1.74s, 7.04% of 24.70s total
Dropped 9 nodes (cum <= 0.12s)
      flat  flat%   sum%        cum   cum%
    -0.02s 0.081%  7.21%     -0.02s 0.081%  runtime.deductSweepCredit
    -0.02s 0.081%  7.29%     -0.04s  0.16%  runtime.gcScanFinalizer
    -0.02s 0.081%  7.37%     -0.10s   0.4%  runtime.goschedImpl
    -0.02s 0.081%  7.45%      0.05s   0.2%  runtime.growslice
    -0.02s 0.081%  7.53%      0.25s  1.01%  runtime.mallocgc
     0.02s 0.081%  7.45%      0.02s 0.081%  runtime.memequal
     0.02s 0.081%  7.37%      0.03s  0.12%  runtime.newInlineUnwinder
     0.02s 0.081%  7.29%     -0.08s  0.32%  runtime.newobject
     0.02s 0.081%  7.21%      0.02s 0.081%  runtime.pcdatavalue1
    -0.02s 0.081%  7.29%      0.01s  0.04%  runtime.pcvalue
     0.01s  0.04%  7.25%      0.01s  0.04%  [goja.test]
    -0.01s  0.04%  7.29%      0.02s 0.081%  github.com/dop251/goja.(*Runtime).Get
    -0.01s  0.04%  7.33%      0.03s  0.12%  github.com/dop251/goja.(*Runtime).init
     0.01s  0.04%  7.29%      0.01s  0.04%  github.com/dop251/goja.(*Runtime).leave
     0.01s  0.04%  7.25%      0.49s  1.98%  github.com/dop251/goja.(*Runtime).runWrapped
    -0.01s  0.04%  7.29%      0.24s  0.97%  github.com/dop251/goja.(*Runtime).toValue
    -0.01s  0.04%  7.33%     -0.01s  0.04%  github.com/dop251/goja.(*baseObject)._setForeignStr
    -0.01s  0.04%  7.37%      0.01s  0.04%  github.com/dop251/goja.(*baseObject).getStr
     0.01s  0.04%  7.33%      0.21s  0.85%  github.com/dop251/goja.(*baseObject).setOwnStr
    -0.01s  0.04%  7.37%     -0.01s  0.04%  github.com/dop251/goja.(*nativeFuncObject).assertCallable
     0.01s  0.04%  7.33%      0.07s  0.28%  github.com/dop251/goja.(*templatedObject).setForeignStr
     0.01s  0.04%  7.29%      0.25s  1.01%  github.com/dop251/goja.(*templatedObject).setOwnStr
     0.01s  0.04%  7.25%      0.78s  3.16%  github.com/dop251/goja.(*vm).try
     0.01s  0.04%  7.21%      0.01s  0.04%  github.com/dop251/goja.getObjectProtoTemplate
     0.01s  0.04%  7.17%      0.71s  2.87%  github.com/dop251/goja_nodejs/console.Enable
     0.01s  0.04%  7.13%      0.01s  0.04%  github.com/dop251/goja_nodejs/console.Require.Require.requireWithPrinter.func1.(*Object).Set.func3
     0.01s  0.04%  7.09%      0.16s  0.65%  github.com/dop251/goja_nodejs/console.Require.Require.requireWithPrinter.func1.(*Object).Set.func5
     0.01s  0.04%  7.04%      0.20s  0.81%  github.com/dop251/goja_nodejs/require.(*Registry).Enable
    -0.01s  0.04%  7.09%     -0.31s  1.26%  github.com/dop251/goja_nodejs/require.(*Registry).RegisterNativeModule
    -0.01s  0.04%  7.13%     -0.01s  0.04%  github.com/dop251/goja_nodejs/require.(*Registry).RegisterNativeModule.deferwrap1
    -0.01s  0.04%  7.17%      0.49s  1.98%  github.com/dop251/goja_nodejs/require.(*RequireModule).resolve
    -0.01s  0.04%  7.21%      0.84s  3.40%  github.com/go-go-golems/go-go-goja/engine.(*Factory).NewRuntime
    -0.01s  0.04%  7.25%     -0.01s  0.04%  github.com/go-go-golems/go-go-goja/engine.NewWithConfig.WithCallLogDisabled.func3
    -0.01s  0.04%  7.29%     -8.10s 32.79%  github.com/go-go-golems/go-go-goja/perf/goja_test.BenchmarkRuntimeSpawn.func2
    -0.01s  0.04%  7.33%     -0.01s  0.04%  gosave_systemstack_switch
     0.01s  0.04%  7.29%      0.01s  0.04%  internal/chacha8rand.block
    -0.01s  0.04%  7.33%     -0.01s  0.04%  internal/runtime/syscall.Syscall6
     0.01s  0.04%  7.29%      0.02s 0.081%  internal/sync.(*HashTrieMap[go.shape.interface {},go.shape.interface {}]).expand
     0.01s  0.04%  7.25%      0.01s  0.04%  memeqbody
    -0.01s  0.04%  7.29%     -0.01s  0.04%  runtime.(*consistentHeapStats).acquire
    -0.01s  0.04%  7.33%     -0.01s  0.04%  runtime.(*gcControllerState).markWorkerStop
    -0.01s  0.04%  7.37%     -0.01s  0.04%  runtime.(*gcControllerState).memoryLimitHeapGoal
    -0.01s  0.04%  7.41%     -0.01s  0.04%  runtime.(*gcControllerState).trigger
     0.01s  0.04%  7.37%      0.01s  0.04%  runtime.(*gcControllerState).update
     0.01s  0.04%  7.33%      0.02s 0.081%  runtime.(*gcWork).tryGetObj
