File: goja.test
Build ID: d78a0faa7df9923b954d3f38003009d269644754
Type: cpu
Time: 2026-02-18 15:07:49 EST
Duration: 21.14s, Total samples = 24700ms (116.86%)
Showing nodes accounting for 0, 6.5e-07% of 24700ms total
      flat  flat%   sum%        cum   cum%
     -20ms 0.081%  0.29%      -20ms 0.081%  github.com/dop251/goja.getGlobalObjectTemplate
     -20ms 0.081%  0.21%    38.25ms  0.15%  github.com/dop251/goja/unistring.NewFromString
     -20ms 0.081%  0.13%    -7900ms 31.98%  github.com/go-go-golems/go-go-goja/engine.Open
     -20ms 0.081% 0.044%     -450ms  1.82%  github.com/go-go-golems/go-go-goja/modules.(*Registry).Enable
     -20ms 0.081% 0.037%   387.36ms  1.57%  runtime.(*mcentral).cacheSpan
     -20ms 0.081%  0.12%   -17.81ms 0.072%  runtime.addspecial
     -20ms 0.081%   0.2%      -20ms 0.081%  runtime.asyncPreempt
     -20ms 0.081%  0.28%      -20ms 0.081%  runtime.deductSweepCredit
     -20ms 0.081%  0.36%     7.44ms  0.03%  runtime.gcScanFinalizer
     -20ms 0.081%  0.44%   -91.24ms  0.37%  runtime.goschedImpl
  -19.27ms 0.078%  0.52%    45.33ms  0.18%  runtime.convTstring
  -18.54ms 0.075%  0.59%   889.20ms  3.60%  github.com/dop251/goja.AssertFunction.func1.1
  -18.54ms 0.075%  0.67%    15.11ms 0.061%  runtime.pcvalue
   17.30ms  0.07%   0.6%   292.47ms  1.18%  github.com/dop251/goja.(*baseObject).setOwnStr
   15.11ms 0.061%  0.54%   -39.78ms  0.16%  runtime.mapaccess2_faststr
   12.19ms 0.049%  0.49%   892.12ms  3.61%  github.com/dop251/goja.(*Runtime).runWrapped
   12.19ms 0.049%  0.44%    86.06ms  0.35%  github.com/dop251/goja.(*templatedObject).setForeignStr
   12.19ms 0.049%  0.39%    12.19ms 0.049%  internal/chacha8rand.block
   12.19ms 0.049%  0.34%   -27.08ms  0.11%  runtime.(*mspan).nextFreeIndex
   12.19ms 0.049%  0.29%    30.36ms  0.12%  runtime.markrootSpans
   12.19ms 0.049%  0.24%    12.19ms 0.049%  runtime.procyield
   12.19ms 0.049%  0.19%    12.19ms 0.049%  runtime.step
   11.46ms 0.046%  0.15%  1140.58ms  4.62%  github.com/dop251/goja_nodejs/console.Enable
   11.46ms 0.046%   0.1%     1.46ms 0.0059%  runtime.(*gcControllerState).heapGoalInternal
   11.46ms 0.046% 0.054%    11.46ms 0.046%  runtime.(*gcControllerState).update
   11.46ms 0.046% 0.0076%   429.77ms  1.74%  runtime.(*mcache).nextFree
   11.46ms 0.046% 0.039%    11.46ms 0.046%  runtime.(*moduledata).textAddr
   11.46ms 0.046% 0.085%    11.46ms 0.046%  runtime.(*pageAlloc).find
   11.46ms 0.046%  0.13%    11.46ms 0.046%  runtime.getempty
   11.46ms 0.046%  0.18%   284.22ms  1.15%  runtime.newarray
   11.46ms 0.046%  0.22%    22.19ms  0.09%  sync/atomic.StorePointer
  -11.24ms 0.046%  0.18%   133.20ms  0.54%  runtime.growslice
   10.73ms 0.043%  0.22%    10.73ms 0.043%  [goja.test]
   10.73ms 0.043%  0.27%     4.38ms 0.018%  github.com/dop251/goja.(*Object).Get
   10.73ms 0.043%  0.31%    10.73ms 0.043%  github.com/dop251/goja.(*Runtime).leave
   10.73ms 0.043%  0.35%   297.44ms  1.20%  github.com/dop251/goja.(*templatedObject).setOwnStr
   10.73ms 0.043%   0.4%    10.73ms 0.043%  github.com/dop251/goja.getObjectProtoTemplate
   10.73ms 0.043%  0.44%    50.14ms   0.2%  github.com/dop251/goja_nodejs/console.Require.Require.requireWithPrinter.func1.(*Object).Set.func3
   10.73ms 0.043%  0.48%   205.25ms  0.83%  github.com/dop251/goja_nodejs/console.Require.Require.requireWithPrinter.func1.(*Object).Set.func5
   10.73ms 0.043%  0.53%   291.95ms  1.18%  github.com/dop251/goja_nodejs/require.(*Registry).Enable
   10.73ms 0.043%  0.57%    22.19ms  0.09%  internal/sync.(*HashTrieMap[go.shape.interface {},go.shape.interface {}]).expand
   10.73ms 0.043%  0.61%    10.73ms 0.043%  memeqbody
   10.73ms 0.043%  0.66%    21.46ms 0.087%  runtime.(*gcWork).tryGetObj
   10.73ms 0.043%   0.7%    10.73ms 0.043%  runtime.(*mcache).releaseAll
   10.73ms 0.043%  0.74%   145.33ms  0.59%  runtime.(*mheap).alloc.func1
   10.73ms 0.043%  0.79%     4.38ms 0.018%  runtime.(*moduledata).funcName
   10.73ms 0.043%  0.83%    10.73ms 0.043%  runtime.(*pallocBits).summarize
   10.73ms 0.043%  0.87%    10.73ms 0.043%  runtime.(*scavengeIndex).alloc
   10.73ms 0.043%  0.92%    10.73ms 0.043%  runtime.checkdead
   10.73ms 0.043%  0.96%    10.73ms 0.043%  runtime.convT64
   10.73ms 0.043%  1.00%   -64.89ms  0.26%  runtime.findRunnable
   10.73ms 0.043%  1.05%    43.65ms  0.18%  runtime.funcNamePiecesForPrint
   10.73ms 0.043%  1.09%     5.11ms 0.021%  runtime.gcAssistAlloc
   10.73ms 0.043%  1.13%    10.73ms 0.043%  runtime.memhash64
   10.73ms 0.043%  1.18%     0.73ms 0.003%  runtime.persistentalloc1
   10.73ms 0.043%  1.22%    10.73ms 0.043%  runtime.runqputbatch
   10.73ms 0.043%  1.26%    11.46ms 0.046%  runtime.scanblock
   10.73ms 0.043%  1.31%   -84.16ms  0.34%  runtime.schedule
   10.73ms 0.043%  1.35%    -9.27ms 0.038%  runtime.setVMAName
   10.73ms 0.043%  1.40%    10.73ms 0.043%  runtime.spanOfHeap
   10.73ms 0.043%  1.44%    10.73ms 0.043%  runtime.trygetfull
     -10ms  0.04%  1.40%    12.19ms 0.049%  github.com/dop251/goja.(*baseObject).getStr
     -10ms  0.04%  1.36%      -10ms  0.04%  github.com/dop251/goja.(*nativeFuncObject).assertCallable
     -10ms  0.04%  1.32%     -310ms  1.26%  github.com/dop251/goja_nodejs/require.(*Registry).RegisterNativeModule
     -10ms  0.04%  1.28%      -10ms  0.04%  github.com/dop251/goja_nodejs/require.(*Registry).RegisterNativeModule.deferwrap1
     -10ms  0.04%  1.24%   886.28ms  3.59%  github.com/dop251/goja_nodejs/require.(*RequireModule).resolve
     -10ms  0.04%  1.20%      -10ms  0.04%  github.com/go-go-golems/go-go-goja/engine.NewWithConfig.WithCallLogDisabled.func3
     -10ms  0.04%  1.16%    -8100ms 32.79%  github.com/go-go-golems/go-go-goja/perf/goja_test.BenchmarkRuntimeSpawn.func2
     -10ms  0.04%  1.11%      -10ms  0.04%  gosave_systemstack_switch
     -10ms  0.04%  1.07%      -10ms  0.04%  runtime.(*consistentHeapStats).acquire
     -10ms  0.04%  1.03%      -10ms  0.04%  runtime.(*gcControllerState).markWorkerStop
     -10ms  0.04%  0.99%      -10ms  0.04%  runtime.(*gcControllerState).memoryLimitHeapGoal
     -10ms  0.04%  0.95%    -8.54ms 0.035%  runtime.(*gcControllerState).trigger
     -10ms  0.04%  0.91%     1.46ms 0.0059%  runtime.(*inlineUnwinder).next
     -10ms  0.04%  0.87%      -10ms  0.04%  runtime.(*limiterEvent).stop
     -10ms  0.04%  0.83%    -7.81ms 0.032%  runtime.(*mcentral).uncacheSpan
     -10ms  0.04%  0.79%   -34.89ms  0.14%  runtime.SetFinalizer
     -10ms  0.04%  0.75%   -58.54ms  0.24%  runtime.convT
     -10ms  0.04%  0.71%      -10ms  0.04%  runtime.duffcopy
     -10ms  0.04%  0.67%      -30ms  0.12%  runtime.execute
     -10ms  0.04%  0.63%    -6.35ms 0.026%  runtime.findnull
     -10ms  0.04%  0.59%   -18.54ms 0.075%  runtime.gcTrigger.test
     -10ms  0.04%  0.55%      -10ms  0.04%  runtime.gcWriteBarrier2
     -10ms  0.04%  0.51%   -27.81ms  0.11%  runtime.makeslice
     -10ms  0.04%  0.47%      -10ms  0.04%  runtime.mapaccess2_fast64
     -10ms  0.04%  0.43%     0.73ms 0.003%  runtime.nilinterhash
     -10ms  0.04%  0.39%    14.38ms 0.058%  runtime.rawstringtmp
     -10ms  0.04%  0.35%   -17.81ms 0.072%  runtime.wbMove
     -10ms  0.04%  0.31%      -10ms  0.04%  sync.(*RWMutex).Unlock
     -10ms  0.04%  0.26%     -100ms   0.4%  testing.(*common).Helper
   -9.27ms 0.038%  0.23%    24.38ms 0.099%  github.com/dop251/goja.(*Runtime).Get
   -9.27ms 0.038%  0.19%    -9.27ms 0.038%  github.com/dop251/goja.(*baseObject)._setForeignStr
   -9.27ms 0.038%  0.15%  1436.98ms  5.82%  github.com/go-go-golems/go-go-goja/engine.(*Factory).NewRuntime
   -9.27ms 0.038%  0.11%    -9.27ms 0.038%  internal/runtime/syscall.Syscall6
   -9.27ms 0.038% 0.077%    -9.27ms 0.038%  runtime.casgstatus
   -8.54ms 0.035% 0.042%  -105.62ms  0.43%  runtime.(*mheap).nextSpanForSweep
   -8.54ms 0.035% 0.0077%   -35.62ms  0.14%  runtime.addfinalizer
   -8.54ms 0.035% 0.027%     3.65ms 0.015%  runtime.rand
   -7.81ms 0.032% 0.058%    -7.81ms 0.032%  runtime.strhash
   -7.81ms 0.032%  0.09%    -7.81ms 0.032%  runtime.unlock2
   -6.35ms 0.026%  0.12%    48.97ms   0.2%  github.com/dop251/goja.(*Runtime).init
   -6.35ms 0.026%  0.14%   481.56ms  1.95%  github.com/dop251/goja.(*Runtime).toValue
    5.84ms 0.024%  0.12%    17.30ms  0.07%  runtime.newMarkBits
