File: goja.test
Build ID: d78a0faa7df9923b954d3f38003009d269644754
Type: alloc_objects
Time: 2026-02-18 17:02:58 EST
Active filters:
   focus=goja/parser|goja\.Parse
Showing nodes accounting for 12018781, 21.01% of 57210381 total
Dropped 7 nodes (cum <= 286051)
      flat  flat%   sum%        cum   cum%
         0     0% 21.01%   12051549 21.07%  github.com/dop251/goja_nodejs/require.(*RequireModule).Require
         0     0% 21.01%   12051549 21.07%  github.com/dop251/goja_nodejs/require.(*RequireModule).loadAsFile
         0     0% 21.01%   12051549 21.07%  github.com/dop251/goja_nodejs/require.(*RequireModule).loadAsFileOrDirectory
         0     0% 21.01%   12051549 21.07%  github.com/dop251/goja_nodejs/require.(*RequireModule).loadModule
         0     0% 21.01%   12051549 21.07%  github.com/dop251/goja_nodejs/require.(*RequireModule).loadModuleFile
         0     0% 21.01%    6144512 10.74%  github.com/dop251/goja_nodejs/require.(*RequireModule).require
         0     0% 21.01%   12051549 21.07%  github.com/dop251/goja_nodejs/require.(*RequireModule).resolve
         0     0% 21.01%   11603708 20.28%  github.com/go-go-golems/go-go-goja/perf/goja_test.BenchmarkRequireLoading.func1
         0     0% 21.01%   11603708 20.28%  testing.(*B).launch
         0     0% 21.01%   11603708 20.28%  testing.(*B).runN
